Scenario,Paramset,Agent,Service,OPM_presence,Risk_perception,Willingness_to_pay,Knowledge,Risk_map,Nature,Access,Zone,Production
de-regulation,with-social,no_mgmt,biodiversity,1,,,,,1,,,1
de-regulation,with-social,no_mgmt,recreation,1,,,,,,1,,1
de-regulation,with-social,mgmt_remove,biodiversity,,0.5,0.9,0.9,,1,,,1
de-regulation,with-social,mgmt_remove,recreation,,0.5,0.9,0.9,,,1,,0.8
de-regulation,with-social,mgmt_pesticide,biodiversity,,0.9,0.5,0.9,0.9,1,,,0.5
de-regulation,with-social,mgmt_pesticide,recreation,,0.9,0.5,0.9,0.9,,1,,1
de-regulation,with-social,mgmt_fell,biodiversity,,0.9,0.1,0.9,,1,,,0.2
de-regulation,with-social,mgmt_fell,recreation,,0.9,0.1,0.9,,,1,,0.2
de-regulation,with-social,mgmt_nat,biodiversity,,0.5,0.1,0.9,,1,,,1
de-regulation,with-social,mgmt_nat,recreation,,0.5,0.1,0.9,,,1,,1
de-regulation,no-social,no_mgmt,biodiversity,1,,,,,1,,,1
de-regulation,no-social,no_mgmt,recreation,1,,,,,,1,,1
de-regulation,no-social,mgmt_remove,biodiversity,,,,,,1,,,1
de-regulation,no-social,mgmt_remove,recreation,,,,,,,1,,0.8
de-regulation,no-social,mgmt_pesticide,biodiversity,,,,,0.9,1,,,0.5
de-regulation,no-social,mgmt_pesticide,recreation,,,,,0.9,,1,,1
de-regulation,no-social,mgmt_fell,biodiversity,,,,,,1,,,0.2
de-regulation,no-social,mgmt_fell,recreation,,,,,,,1,,0.2
de-regulation,no-social,mgmt_nat,biodiversity,,,,,,1,,,1
de-regulation,no-social,mgmt_nat,recreation,,,,,,,1,,1
govt-intervention,with-social,no_mgmt,biodiversity,1,,,,,1,,,1
govt-intervention,with-social,no_mgmt,recreation,1,,,,,,1,,1
govt-intervention,with-social,mgmt_remove,biodiversity,,0.5,0.9,0.9,,1,,,1
govt-intervention,with-social,mgmt_remove,recreation,,0.5,0.9,0.9,,,1,,0.8
govt-intervention,with-social,mgmt_pesticide,biodiversity,,0.9,0.5,0.9,0.9,1,,,0.5
govt-intervention,with-social,mgmt_pesticide,recreation,,0.9,0.5,0.9,0.9,,1,,1
govt-intervention,with-social,mgmt_fell,biodiversity,,0.9,0.1,0.9,,1,,,0.2
govt-intervention,with-social,mgmt_fell,recreation,,0.9,0.1,0.9,,,1,,0.2
govt-intervention,with-social,mgmt_nat,biodiversity,,0.5,0.1,0.9,,1,,,1
govt-intervention,with-social,mgmt_nat,recreation,,0.5,0.1,0.9,,,1,,1
govt-intervention,no-social,no_mgmt,biodiversity,1,,,,,1,,,1
govt-intervention,no-social,no_mgmt,recreation,1,,,,,,1,,1
govt-intervention,no-social,mgmt_remove,biodiversity,,,,,,1,,,1
govt-intervention,no-social,mgmt_remove,recreation,,,,,,,1,,0.8
govt-intervention,no-social,mgmt_pesticide,biodiversity,,,,,0.9,1,,,0.5
govt-intervention,no-social,mgmt_pesticide,recreation,,,,,0.9,,1,,1
govt-intervention,no-social,mgmt_fell,biodiversity,,,,,,1,,,0.2
govt-intervention,no-social,mgmt_fell,recreation,,,,,,,1,,0.2
govt-intervention,no-social,mgmt_nat,biodiversity,,,,,,1,,,1
govt-intervention,no-social,mgmt_nat,recreation,,,,,,,1,,1
baseline,with-social,no_mgmt,biodiversity,1,,,,,1,,,1
baseline,with-social,no_mgmt,recreation,1,,,,,,1,,1
baseline,with-social,mgmt_remove,biodiversity,,0.5,0.9,0.9,,1,,,1
baseline,with-social,mgmt_remove,recreation,,0.5,0.9,0.9,,,1,,0.8
baseline,with-social,mgmt_pesticide,biodiversity,,0.9,0.5,0.9,0.9,1,,,0.5
baseline,with-social,mgmt_pesticide,recreation,,0.9,0.5,0.9,0.9,,1,,1
baseline,with-social,mgmt_fell,biodiversity,,0.9,0.1,0.9,,1,,,0.2
baseline,with-social,mgmt_fell,recreation,,0.9,0.1,0.9,,,1,,0.2
baseline,with-social,mgmt_nat,biodiversity,,0.5,0.1,0.9,,1,,,1
baseline,with-social,mgmt_nat,recreation,,0.5,0.1,0.9,,,1,,1
baseline,no-social,no_mgmt,biodiversity,1,,,,,1,,,1
baseline,no-social,no_mgmt,recreation,1,,,,,,1,,1
baseline,no-social,mgmt_remove,biodiversity,,,,,,1,,,1
baseline,no-social,mgmt_remove,recreation,,,,,,,1,,0.8
baseline,no-social,mgmt_pesticide,biodiversity,,,,,0.9,1,,,0.5
baseline,no-social,mgmt_pesticide,recreation,,,,,0.9,,1,,1
baseline,no-social,mgmt_fell,biodiversity,,,,,,1,,,0.2
baseline,no-social,mgmt_fell,recreation,,,,,,,1,,0.2
baseline,no-social,mgmt_nat,biodiversity,,,,,,1,,,1
baseline,no-social,mgmt_nat,recreation,,,,,,,1,,1
un-coupled,with-social,no_mgmt,biodiversity,1,,,,,1,,,1
un-coupled,with-social,no_mgmt,recreation,1,,,,,,1,,1
un-coupled,with-social,mgmt_remove,biodiversity,,0.5,0.9,0.9,,1,,,1
un-coupled,with-social,mgmt_remove,recreation,,0.5,0.9,0.9,,,1,,0.8
un-coupled,with-social,mgmt_pesticide,biodiversity,,0.9,0.5,0.9,0.9,1,,,0.5
un-coupled,with-social,mgmt_pesticide,recreation,,0.9,0.5,0.9,0.9,,1,,1
un-coupled,with-social,mgmt_fell,biodiversity,,0.9,0.1,0.9,,1,,,0.2
un-coupled,with-social,mgmt_fell,recreation,,0.9,0.1,0.9,,,1,,0.2
un-coupled,with-social,mgmt_nat,biodiversity,,0.5,0.1,0.9,,1,,,1
un-coupled,with-social,mgmt_nat,recreation,,0.5,0.1,0.9,,,1,,1
un-coupled,no-social,no_mgmt,biodiversity,1,,,,,1,,,1
un-coupled,no-social,no_mgmt,recreation,1,,,,,,1,,1
un-coupled,no-social,mgmt_remove,biodiversity,,,,,,1,,,1
un-coupled,no-social,mgmt_remove,recreation,,,,,,,1,,0.8
un-coupled,no-social,mgmt_pesticide,biodiversity,,,,,0.9,1,,,0.5
un-coupled,no-social,mgmt_pesticide,recreation,,,,,0.9,,1,,1
un-coupled,no-social,mgmt_fell,biodiversity,,,,,,1,,,0.2
un-coupled,no-social,mgmt_fell,recreation,,,,,,,1,,0.2
un-coupled,no-social,mgmt_nat,biodiversity,,,,,,1,,,1
un-coupled,no-social,mgmt_nat,recreation,,,,,,,1,,1
